ItemName,UnitName,TransactionDate,UnitPrice
"Man hole Cover (Dia 24"")",Nos,5/4/2017,2553
"UPVC Pipe 1.5""",Rft,9/21/2017,19.5
Plug 15A 3Pin,Nos,9/26/2017,52
"Screw Star 1.25""",Gros,9/27/2017,180
Cable 3x1.0 RM NYY (Meter),Meter,7/27/2017,80.31
Cable CAT6 Network (Drum),Drum,7/27/2017,13700
Jacuzzi,Nos,7/27/2017,355000
Jacuzzi,Nos,7/27/2017,355000
Soap case,Nos,3/27/2017,260
Switch 3 Gang,Nos,4/1/2017,300
"UPVC Bend 2""",Nos,4/1/2017,25
"UPVC Socket 2""",Nos,4/1/2017,74
Soap case,Nos,4/8/2017,1750
"Flexible Pipe 4"" (EG)",Rft,4/8/2017,95
Fire Exting. Refill,Pes,7/5/2017,540
Fire Exting. Refill,Pes,7/5/2017,540
CPVC Bushing 1.5''x1.25'',Nos,4/11/2017,82
"Cpvc Cap 1""",Nos,4/11/2017,34
CPVC Bushing 1.5''x1.25'',Nos,4/11/2017,82
"Cpvc Cap 1""",Nos,4/11/2017,34
"PVC Pipe 1""",Rft,4/11/2017,9
Cpvc Coupling1.25'',Nos,11/26/2017,110
"CPVC male adaptor 1.25""",Nos,11/26/2017,1010
"CPVC Bush 1.5"" x 2""",Nos,11/26/2017,210
"CPVC 1.25"" Union",Nos,11/26/2017,440
Cable Lux 25 RM,Nos,4/20/2017,17
Jacuzzi,Nos,4/26/2017,395000
"PVC Pipe 1""",Rft,4/26/2017,9
Brighton Tube Set 3',Nos,2/24/2018,330
Cpvc Coupling1.25'',Nos,5/10/2017,110
Jacuzzi,Nos,5/13/2017,319000
"Flexible Pipe 3/4"" EG)",Rft,5/20/2017,5
Fire Exting. Refill,Pes,5/22/2017,550
Fire Exting. Refill,Pes,5/22/2017,550
Fire Exting. Refill,Pes,5/22/2017,550
"Flexible Pipe 4"" (EG)",Rft,5/31/2017,75
Jacuzzi,Nos,10/4/2017,319000
"UPVC Offset Bend 4""",Nos,10/10/2017,175
Cable 2.5 RE BYA,Coil,10/12/2017,2667
"Flexible Pipe 4"" (EG)",Rft,8/13/2017,75
"CPVC Bush 1.5"" x 2""",Nos,8/16/2017,210
"UPVC Offset Bend 4""",Nos,4/29/2017,175
"UPVC Offset Bend 2""",Nos,4/29/2017,136
"MK Screw 3""",Nos,5/4/2017,1
"Mk Screw 2""",Nos,5/4/2017,0.5
Fire Exting. Refill,Pes,5/4/2017,540
Fire Exting. Refill,Pes,5/4/2017,540
"Flexible Pipe 3/4"" EG)",Rft,1/17/2018,3.8
Cable 2.5 RE BYA,Coil,9/19/2017,2667
"Flexible Pipe 3/4"" EG)",Rft,9/20/2017,5
Cable Lux 25 RM,Nos,2/12/2018,17
"Flexible Pipe 3/4"" EG)",Rft,2/12/2018,3.8
"Cpvc Cap 1""",Nos,6/26/2018,45
Cable 2.5 RE BYA,Coil,5/16/2017,2173
Cable 2.5 rm BYA,Coil,5/16/2017,2205
"UPVC Offset Bend 2""",Nos,5/15/2018,136
"UPVC Bend 2""",Nos,5/15/2018,25
"UPVC Offset Bend 4""",Nos,5/15/2018,175
"PVC Pipe 1""",Rft,4/24/2017,9
"UPVC Offset Bend 4""",Nos,1/23/2018,155
Cable 1.5 re BYA,Coil,7/27/2017,1343
1.5 rm Cable BYA,Coil,7/27/2017,1388
Cable 4 RM BYA,Coil,7/27/2017,3388
"UPVC Pipe 3""",Rft,7/27/2017,62.5
"UPVC Pipe 4""",Rft,7/27/2017,77.5
Paper Holder,Nos,3/27/2017,405
Connection Pipe,Nos,4/4/2017,110
Paper Holder,Nos,4/8/2017,1800
Mymensing Sand,Cft,7/27/2017,25
Mymensing Sand,Cft,4/3/2017,25
Mymensing Sand,Cft,4/3/2017,25
Mymensing Sand,Cft,6/11/2017,25
Mymensing Sand,Cft,6/13/2017,25
Filling Sand,Cft,7/5/2017,12
Mymensing Sand,Cft,7/12/2017,25
Mymensing Sand,Cft,5/10/2017,25
Mymensing Sand,Cft,5/10/2017,25
Mymensing Sand,Cft,5/10/2017,25
Supply and Fitting fixing of Glass Railing,Sft,5/11/2017,524
MS Grill,Sft,5/24/2017,120
Mymensing Sand,Cft,5/28/2017,25
Supply and Fitting fixing of Glass Railing,Sft,1/9/2018,750
Mymensing Sand,Cft,1/9/2018,25
Mymensing Sand,Cft,1/9/2018,25
Mymensing Sand,Cft,1/9/2018,25
Mymensing Sand,Cft,1/9/2018,25
Mymensing Sand,Cft,8/12/2017,25
Mymensing Sand,Cft,8/16/2017,25
Mymensing Sand,Cft,8/16/2017,25
Safety Canopy Removing,Sft,1/16/2018,14
Mymensing Sand,Cft,1/17/2018,25
Mymensing Sand,Cft,1/17/2018,25
Mymensing Sand,Cft,3/6/2017,25
Mymensing Sand,Cft,3/6/2017,25
Mymensing Sand,Cft,10/17/2017,25
Mymensing Sand,Cft,10/17/2017,25
Mymensing Sand,Cft,10/17/2017,25
Mymensing Sand,Cft,9/16/2017,25
Mymensing Sand,Cft,9/20/2017,25
Mymensing Sand,Cft,8/2/2017,25
Mymensing Sand,Cft,3/22/2018,25
Mymensing Sand,Cft,1/21/2018,25
Mymensing Sand,Cft,1/21/2018,25
Mymensing Sand,Cft,3/24/2018,25
Mymensing Sand,Cft,3/24/2018,25
Mymensing Sand,Cft,3/24/2018,25
Mymensing Sand,Cft,7/18/2018,25
Mymensing Sand,Cft,7/18/2018,25
Mymensing Sand,Cft,5/16/2017,27
Mymensing Sand,Cft,5/15/2018,25
Mymensing Sand,Cft,5/20/2018,25
Towel Ring,Nos,4/8/2017,2000
"CPVC 1.5"" x 1"" Tee",Nos,6/21/2017,208
Urinal,Nos,7/5/2017,15200
1.5 rm Cable BYA,Coil,4/8/2017,1388
"CPVC Brass Tee 1/2"" x 3/4""",Nos,4/11/2017,175
"CPVC Brass Tee 1/2"" x 3/4""",Nos,4/11/2017,175
Adhesive Solution,Nos,4/11/2017,1015
Profile Fan,Nos,4/11/2017,2800
Cpvc Clamp 1'',Nos,4/11/2017,11
Screw Star 3/4'',Gros,11/25/2017,35
Adhesive Solution,Nos,11/26/2017,1568
Basin (Nos),Nos,5/13/2017,14500
Basin (Nos),Nos,5/13/2017,14500
Basin (Nos),Nos,5/13/2017,14500
Basin (Nos),Nos,5/13/2017,14500
Basin (Nos),Nos,5/13/2017,14500
Basin (Nos),Nos,5/13/2017,14500
Basin (Nos),Nos,5/13/2017,14500
Screw Star 3/4'',Gros,5/31/2017,35
Basin (Nos),Nos,10/4/2017,2826
1.5 rm Cable BYA,Coil,10/12/2017,1694
Adapter,Nos,10/12/2017,2500
Adhesive Solution,Nos,8/16/2017,1015
"UPVC Pipe 4""",Rft,1/17/2018,75
Hand Gloves (for CO),Pair,9/27/2017,80
Screw Star 3/4'',Gros,9/27/2017,40
CPVC Bushing 1'' x 1.5'',Nos,11/28/2017,101
Adhesive Solution,Nos,11/28/2017,3028
1.5 rm Cable BYA,Coil,11/30/2017,1694
Cable 4 RM BYA,Coil,11/30/2017,4179
Basin (Nos),Nos,11/30/2017,142000
Basin (Nos),Nos,11/30/2017,594000
Adhesive Solution,Nos,11/30/2017,2654
Socket Telephone,Nos,12/3/2017,540
"CPVC 1.5"" Male Socket",Nos,12/5/2017,1733
Socket Telephone,Nos,3/20/2018,540
1.5 rm Cable BYA,Coil,2/11/2018,1456.84
Cable 4 RM BYA,Coil,2/11/2018,3593.94
Cable 4 RM BYA,Coil,2/11/2018,3593.94
Towel Ring,Nos,2/19/2018,2000
Vehicle Maintenance,Nos,2/26/2017,38100
Vehicle Maintenance,Nos,12/3/2017,361237
Vehicle Maintenance,Nos,4/8/2018,17100
Vehicle Maintenance,Nos,4/8/2018,15800
Vehicle Maintenance,Nos,4/8/2018,2450
Vehicle Maintenance,Nos,4/8/2018,14150
Vehicle Maintenance,Nos,4/8/2018,7000
Vehicle Maintenance,Nos,4/8/2018,1200
Vehicle Maintenance,Nos,4/8/2018,55000
Vehicle Maintenance,Nos,4/8/2018,1750
Vehicle Maintenance,Nos,4/8/2018,6700
Vehicle Maintenance,Nos,4/8/2018,23550
Vehicle Maintenance,Nos,4/8/2018,5800
Vehicle Maintenance,Nos,4/8/2018,6960
Vehicle Maintenance,Nos,4/8/2018,3680
Vehicle Maintenance,Nos,4/8/2018,6800
Vehicle Maintenance,Nos,5/25/2017,4000
Vehicle Maintenance,Nos,5/25/2017,7000
Vehicle Maintenance,Nos,6/4/2017,4400
Vehicle Maintenance,Nos,6/4/2017,1300
Vehicle Maintenance,Nos,6/4/2017,2000
Vehicle Maintenance,Nos,6/4/2017,55000
Vehicle Maintenance,Nos,6/4/2017,4200
Vehicle Maintenance,Nos,6/4/2017,9660
Vehicle Maintenance,Nos,6/4/2017,6200
Vehicle Maintenance,Nos,6/4/2017,5760
Vehicle Maintenance,Nos,6/6/2017,6090
Vehicle Maintenance,Nos,6/6/2017,9500
Vehicle Maintenance,Nos,6/6/2017,7200
Vehicle Maintenance,Nos,6/6/2017,3800
Vehicle Maintenance,Nos,6/8/2017,55435
Vehicle Maintenance,Nos,5/27/2018,2300
Vehicle Maintenance,Nos,5/27/2018,2050
Vehicle Maintenance,Nos,5/27/2018,13000
Vehicle Maintenance,Nos,5/27/2018,13500
Vehicle Maintenance,Nos,5/27/2018,5850
Vehicle Maintenance,Nos,5/27/2018,3700
Vehicle Maintenance,Nos,5/27/2018,29051
Vehicle Maintenance,Nos,4/16/2017,13875
Vehicle Maintenance,Nos,8/1/2018,2000
Vehicle Maintenance,Nos,8/1/2018,5300
Vehicle Maintenance,Nos,8/1/2018,10343
Paper Holder,Nos,2/19/2018,1800
Screw Star 3/4'',Gros,2/19/2018,115
Connection Pipe,Nos,1/17/2018,100
Floor Trap (Pop-up),Nos,1/17/2018,260
"UPVC Pipe 12""",Rft,1/22/2018,980
Screw Star 3/4'',Gros,1/22/2018,35
"UPVC Pipe 4""",Rft,2/27/2017,77.5
"CPVC 1.5"" Male Socket",Nos,2/20/2018,1733
Cable Telephone (2 Pair),Coil,7/27/2017,1488
Towel Rail,Nos,3/27/2017,555
"UPVC Pipe 2""",Rft,4/1/2017,29.8
"UPVC Pipe 2""",Rft,4/4/2017,29.8
"GI Check Valve 2""",Nos,4/4/2017,1600
Towel Rail,Nos,4/8/2017,2400
Copper Rod 3/4'',Rft,6/11/2017,480
Cable 2 x 2.0 Rm Flexible,Coil,7/12/2017,5540
"CPVC Socket 3/4""",Nos,4/11/2017,28
MCB 32A SP,Nos,11/25/2017,370
CPVC Male  Adapter 1.5'',Nos,11/26/2017,1352
Cable 2 x 2.0 Rm Flexible,Coil,4/17/2017,5539
"CPVC 1"" Coupling",Nos,4/20/2017,60
Cable lux 35 RM,Nos,4/20/2017,25
"PVC Bend 1""",Nos,4/26/2017,6
Brighton Tube Set 4',Nos,2/24/2018,350
Brighton Tube Set 4',Nos,2/24/2018,350
MCB 32A SP,Nos,2/24/2018,370
"Flexible Pipe 1"" (EG)",Rft,5/20/2017,7
"PVC Bend 1""",Nos,5/22/2017,6
CCTV Installation Charge,Nos,5/30/2017,1000
CCTV Installation Charge,Nos,5/30/2017,1000
"UPVC Pipe 2""",Rft,5/31/2017,29.8
Basin (Set),Set,6/4/2017,10000
"UPVC Plain Bend 4""",Nos,10/10/2017,100
Basin (Set),Set,8/13/2017,3008
"CPVC Socket 3/4""",Nos,8/16/2017,28
"Flexible Pipe 1"" (EG)",Rft,8/16/2017,7
Upvc Cap 4'',Nos,4/29/2017,146
Emergency Light,Nos,4/29/2017,700
Cable lux 35 RM,Nos,5/4/2017,25
Aluminium Ladder,Nos,5/8/2017,8500
Aluminium Ladder,Nos,5/8/2017,8500
MCB 32A SP,Nos,3/2/2017,370
Emergency Light,Nos,10/19/2017,700
"Flexible Pipe 1"" (EG)",Rft,2/12/2018,5.32
Towel Rail,Nos,4/3/2017,555
"CPVC Socket 3/4""",Nos,6/26/2018,43
Upvc Cap 4'',Nos,5/15/2018,146
"UPVC Pipe 2""",Rft,5/15/2018,29.8
Bath Mixture with Hand Shower,Nos,5/17/2018,46725
Bath Mixture with Hand Shower,Nos,5/17/2018,18500
Bath Mixture with Hand Shower,Nos,5/17/2018,18500
"PVC Bend 1""",Nos,4/24/2017,6
Cable Telephone (2 Pair),Coil,2/27/2018,1530.85
Pressure reducing valve,Nos,3/15/2018,4800
Pressure reducing valve,Nos,3/15/2018,4800
"UPVC Pipe 2""",Rft,1/23/2018,29.8
"PVC Bend 1""",Nos,12/12/2017,6
Cable Telephone (2 Pair),Coil,7/7/2018,1530.85
Basin (Set),Set,7/16/2018,26000
"PVC Bend 1""",Nos,7/17/2018,6
"PVC Bend 1""",Nos,10/24/2017,6
"UPVC Pipe 2""",Rft,4/28/2018,29.8
"UPVC Tee 4""",Nos,4/28/2018,140
MCB 32A SP,Nos,10/17/2017,370
Bath Tub Waste,Nos,6/20/2017,5000
Concealed tank for wall hung commode,Set,6/20/2017,24000
"CPVC Pipe 2""",Rft,4/11/2017,288
CPVC Bushing 1''x1.25'',Nos,4/11/2017,50.4
"CPVC Tee Plain 1.5""",Nos,4/11/2017,256
CPVC Bushing 1''x1.25'',Nos,4/11/2017,50.4
"CPVC Tee Plain 1.5""",Nos,4/11/2017,256
"Screw 3""",Gros,11/25/2017,273
"CPVC Pipe 2""",Rft,11/26/2017,288
"CPVC Tee Plain 1.5""",Nos,11/26/2017,256
"CPVC Bush 1.5"" x 1.5""",Nos,11/26/2017,242
"CPVC Pipe 2""",Rft,5/10/2017,288
"CPVC Tee Plain 1.5""",Nos,5/20/2017,256
"Screw 2""",Gros,5/20/2017,165
Cable Lux 2.5,Nos,10/4/2017,2
Foam Sheet (Nos),Nos,3/5/2017,140
"Cup Brush 4""",Nos,3/5/2017,410
Welding Holder,Nos,3/5/2017,450
Foam Sheet (Nos),Nos,3/5/2017,140
Welding Holder,Nos,3/5/2017,410
"GI Nail 3""",Kg,3/5/2017,65
Welding Holder,Nos,3/5/2017,410
Door Closer,Set,3/5/2017,1800
Broom Coconut,Nos,3/6/2017,45
Door Closer,Set,6/20/2017,1800
Door Closer,Set,8/12/2017,1800
Broom Coconut,Nos,8/14/2017,45
"Handle SS 4'-0""",Nos,8/14/2017,4450
"GI Nail 3""",Kg,8/2/2017,65
"Cup Brush 4""",Nos,4/26/2017,550
Broom Coconut,Nos,4/26/2017,45
"Handle SS 4'-0""",Nos,3/12/2018,4450
Door Closer,Set,3/12/2018,8500
Battery,Nos,6/18/2017,13824
Broom Coconut,Nos,4/11/2017,45
"Handle SS 4'-0""",Nos,4/24/2017,4450
Magnet (Cabinet),Nos,5/20/2017,18
Door Closer,Set,5/30/2017,11500
Door Closer,Set,10/8/2017,1800
"Handle SS 4'-0""",Nos,10/15/2017,4450
Door Closer,Set,8/9/2017,8000
Door Closer,Set,8/13/2017,1800
Broom Coconut,Nos,8/16/2017,45
Epoxy Jen epilux E4 primer,Gallon,10/17/2017,2340
Broom Coconut,Nos,10/17/2017,45
Broom Coconut,Nos,9/27/2017,45
"GI Nail 3""",Kg,9/27/2017,65
Foam Sheet (Nos),Nos,7/16/2017,130
Broom Coconut,Nos,8/2/2017,45
Broom Coconut,Nos,8/2/2017,45
Foam Sheet (Nos),Nos,11/13/2017,115
Foam Sheet (Nos),Nos,11/13/2017,115
"GI Nail 3""",Kg,10/19/2017,65
Foam Sheet (Nos),Nos,3/29/2018,140
Welding Holder,Nos,4/8/2018,400
Foam Sheet (Nos),Nos,7/18/2018,140
Foam Sheet (Nos),Nos,7/18/2018,140
Broom Coconut,Nos,10/31/2017,45
"Cable Tie 12""",Pkt,10/4/2017,110
"Cable Tie 6""",Pkt,10/4/2017,75
Bell Push,Nos,10/7/2017,380
"GI Check Valve 1""",Nos,8/12/2017,800
"Screw 2""",Gros,3/6/2017,160
Spout,Nos,10/19/2017,17000
Led spot Light 5W,Nos,9/20/2017,2250
Cable 16 RM BYA (Meter),Meter,11/30/2017,160.95
"UPVC Socket 4""",Nos,11/30/2017,63
Socket Internet,Nos,12/3/2017,660
Bell Push,Nos,12/3/2017,380
"Cable Tie 6""",Pkt,12/5/2017,80
Socket Internet,Nos,3/20/2018,660
Cable 16 RM BYA (Meter),Meter,3/29/2018,136.8
"Screw 2""",Gros,2/19/2018,180
"Screw 2""",Gros,2/19/2018,180
"GI Short Pipe 1/2"" (5"" Length)",Nos,1/21/2018,20
"UPVC Back Door Bend 4""",Nos,2/27/2017,137
LED Strip Light,Meter,12/27/2017,76.22
Socket Internet,Nos,11/6/2017,660
Bell Push,Nos,11/21/2017,180
"UPVC Socket 4""",Nos,11/13/2017,63
Cable Lux 2.5,Nos,2/12/2018,2
"Cable Tie 6""",Pkt,2/12/2018,75
"Cable Tie 12""",Pkt,2/12/2018,110
"CPVC Tee Plain 1.5""",Nos,2/20/2018,375
"CPVC Tee Plain 1.25""",Nos,2/20/2018,260
Sink waste pipe,Nos,4/1/2017,35
"CPVC Pipe 2""",Rft,6/26/2018,355
CPVC Tee 1''x1.25'',Nos,6/26/2018,279
"Pressure reducing valve 1.5""",Nos,3/15/2018,5800
"CPVC Pipe 2""",Rft,1/6/2018,355
CPVC Bushing 1''x1.25'',Nos,1/6/2018,58
"CPVC Tee Plain 1.5""",Nos,1/6/2018,375
"CPVC Tee Plain 1.25""",Nos,7/8/2018,260
"CPVC Tee Plain 1.5""",Nos,7/8/2018,375
"UPVC Socket 4""",Nos,10/23/2017,63
"UPVC Socket 4""",Nos,4/28/2018,63
"UPVC Back Door Bend 4""",Nos,4/28/2018,137
"UPVC Socket 4""",Nos,4/28/2018,63
"CPVC Pipe 2""",Rft,3/9/2017,288
2.5 rm Cable BYA,Coil,7/27/2017,2205
Bottle Trap,Nos,4/1/2017,2950
"UPVC Tee 2""",Nos,4/1/2017,40
Cable Internet,Drum,6/20/2017,13700
2.5 rm Cable BYA,Coil,4/8/2017,2205
"CPVC Elbow 2""",Nos,11/26/2017,438
"CPVC Elbow Plain 1.5""",Nos,11/26/2017,220
"CPVC Cap 2""",Nos,11/26/2017,234
Mirror,Nos,4/17/2017,80000
Mirror,Nos,4/17/2017,75000
"PVC Bend 3/4""",Nos,4/26/2017,5
Cable Internet,Drum,2/24/2018,13700
"CPVC Elbow 2""",Nos,5/10/2017,438
"CPVC Cap 2""",Nos,5/10/2017,234
"PVC Bend 3/4""",Nos,5/22/2017,5
"Saddle Clamp 1""",Nos,5/31/2017,3
Bottle Trap,Nos,6/4/2017,5500
Grid Drain,Set,6/4/2017,1000
"Cable Tie 8""",Pkt,10/4/2017,90
2.5 rm Cable BYA,Coil,10/12/2017,2704
"Screw Star 1.5""",Gros,8/16/2017,70
"UPVC Pipe 6""",Rft,4/29/2017,138.75
"UPVC Socket 6""",Nos,4/29/2017,387
"UPVC Plain Bend 6""",Nos,4/29/2017,335
"Screw Star 1.5""",Gros,10/19/2017,188
"CPVC Elbow Plain 1.5""",Nos,11/28/2017,306
"CPVC Cap 2""",Nos,11/28/2017,245
"Cpvc gate valve 3""",Nos,11/28/2017,27580
"Saddle Clamp 1""",Nos,3/5/2017,3
"Screw Star 1.5""",Gros,3/5/2017,85
"PVC Pipe 4""",Rft,6/11/2017,63.36
"UPVC Plain Tee 4"" x 2""",Nos,6/20/2017,125
"CPVC Elbow Plain 1.5""",Nos,3/8/2017,220
"Cpvc bushing 2.5"" X 1.5""",Nos,3/12/2017,797
Hand Shower,Nos,8/14/2017,5200
"UPVC Pipe 6""",Rft,8/20/2017,138.75
"UPVC Socket 6""",Nos,8/20/2017,387
"PVC Bend 3/4""",Nos,5/4/2017,5
Broom Coconut,Nos,5/16/2017,45
Foam Sheet (Nos),Nos,1/23/2018,115
Broom Coconut,Nos,1/23/2018,45
Foam Sheet (Nos),Nos,12/31/2017,135
Broom Coconut,Nos,9/27/2017,45
Foam Sheet (Nos),Nos,9/27/2017,115
Welding Holder,Nos,7/5/2018,410
Broom Coconut,Nos,4/21/2018,45
"GI Nail 3""",Kg,4/21/2018,90
Battery,Nos,4/25/2018,1350
"Cup Brush 4""",Nos,3/9/2017,380
Welding Holder,Nos,3/9/2017,380
Thread Rod 12mm,Nos,3/13/2017,120
Polythene,Roll,7/27/2017,1320
"Masking Tape 2""",Nos,7/27/2017,38
"Masking Tape 2""",Nos,4/11/2017,38
Polythene,Roll,4/11/2017,1320
"Masking Tape 2""",Nos,11/25/2017,38
Polythene,Roll,11/25/2017,1300
"Drawer Channel 18""",Set,4/26/2017,225
"Dimond Disk 4""",Nos,5/31/2017,180
"Masking Tape 2""",Nos,5/31/2017,38
Anchor Bolts,Pes,6/4/2017,18
"Masking Tape 2""",Nos,10/12/2017,38
Fischer Chemical,Nos,8/12/2017,2328
Polythene,Roll,8/16/2017,1320
"Masking Tape 2""",Nos,8/16/2017,38
"Drawer Channel 18""",Set,8/20/2017,225
Polythene,Roll,1/17/2018,1300
"Masking Tape 2""",Nos,1/17/2018,35
Thinner-Jen T-7,Gallon,3/2/2017,901.6
Polythene,Roll,3/6/2017,1320
Polythene,Roll,3/6/2017,1320
"Masking Tape 2""",Nos,3/6/2017,38
"Door Clamp 4""",Kg,3/6/2017,55
Thinner-Jen T-7,Gallon,10/17/2017,1005
Polythene,Roll,10/17/2017,1320
Fischer Chemical,Nos,2/7/2018,2150
"Masking Tape 2""",Nos,2/7/2018,35
"Masking Tape 2""",Nos,2/7/2018,38
Polythene,Roll,9/16/2017,1300
Polythene,Roll,9/27/2017,1550
Polythene,Roll,9/27/2017,1550
Polythene,Roll,9/27/2017,1300
"UPVC Tee 2""",Nos,1/17/2018,40
"6"" MS Non return valve",Nos,8/2/2017,8500
Bottle Trap,Nos,8/2/2017,2750
Hand Shower,Nos,8/2/2017,5200
"CPVC Elbow 2""",Nos,4/3/2018,595
"CPVC Elbow Plain 1.5""",Nos,4/3/2018,306
"Saddle Clamp 1""",Nos,2/26/2017,5
"CPVC Cap 2""",Nos,12/11/2017,245
"CPVC Elbow 2""",Nos,3/28/2017,438
Cable 2 x 0.65 rm Flexible (meter),Meter,2/27/2018,24.44
Cable 16 RM NYY,Meter,3/4/2018,198.47
Ceiling Moving Fan,Nos,5/9/2017,2900
"Cable Tie 8""",Pkt,2/12/2018,90
"CPVC Elbow Plain 1.5""",Nos,2/20/2018,306
Piller Cock,Nos,4/3/2017,1165
"CPVC Cap 2""",Nos,6/26/2018,245
"UPVC Tee 2""",Nos,5/15/2018,40
Cable 16 RM NYY,Meter,5/17/2018,164.73
Socket 10A 2pin,Nos,8/2/2017,40
Plug 15A 3Pin,Nos,8/2/2017,52
"Screw Star 1.25""",Gros,10/19/2017,180
"3/4"" CPVC Pipe",Rft,2/20/2018,75
Cpvc Ball valve 3/4'',Nos,2/20/2018,998
"CPVC Tee 1""",Nos,2/20/2018,137
Bib Cock,Nos,4/3/2017,995
Socket 10A 2pin,Nos,4/11/2017,45
Plug 15A 3Pin,Nos,4/11/2017,60
"3/4"" CPVC Pipe",Rft,6/26/2018,75
"CPVC Elbow 3/4""",Nos,6/26/2018,65
"PVC Pipe 1.25""",Rft,4/24/2017,13
"UPVC Pipe 1.5""",Rft,1/23/2018,19.5
"PVC Pipe 1.25""",Rft,1/28/2018,13
"3/4"" CPVC Pipe",Rft,1/4/2018,75
"CPVC Tee 1""",Nos,7/8/2018,137
Socket 10A 2pin,Nos,10/23/2017,25
Plug 15A 3Pin,Nos,10/23/2017,52
"UPVC Pipe 1.5""",Rft,10/23/2017,19.5
"PVC Pipe 1.25""",Rft,10/24/2017,13
"CPVC Elbow 3/4""",Nos,11/30/2017,65
"Masking Tape 2""",Nos,9/27/2017,35
"Dimond Disk 4""",Nos,3/5/2017,170
"Masking Tape 2""",Nos,3/5/2017,38
"Masking Tape 2""",Nos,3/5/2017,38
Polythene,Roll,3/5/2017,1320
"Dimond Disk 4""",Nos,3/5/2017,160
Polythene,Roll,3/5/2017,1320
"Masking Tape 2""",Nos,3/5/2017,38
"Masking Tape 2""",Nos,3/5/2017,38
Anchor Bolts,Pes,3/5/2017,18
Fischer Chemical,Nos,3/6/2017,2328
Polythene,Roll,3/6/2017,1320
Polythene,Roll,7/6/2017,1320
Polythene,Roll,7/13/2017,1320
Paint Brush,Nos,7/13/2017,120
Paint Brush,Nos,7/13/2017,140
"Masking Tape 2""",Nos,7/13/2017,38
"Dimond Disk 4""",Nos,7/13/2017,160
"Dimond Disk 4""",Nos,8/12/2017,160
Polythene,Roll,8/14/2017,1320
"Dimond Disk 4""",Nos,8/14/2017,180
Fischer Chemical,Nos,4/30/2017,2328
"Dimond Disk 4""",Nos,5/4/2017,180
"Masking Tape 2""",Nos,8/2/2017,38
Polythene,Roll,8/2/2017,1320
"Masking Tape 2""",Nos,8/2/2017,38
Polythene,Roll,2/26/2017,1320
Anchor Bolts,Pes,2/26/2017,18
"Dimond Disk 4""",Nos,2/26/2017,160
"Dimond Disk 4""",Nos,4/1/2017,160
Nylon Rope,Kg,4/6/2017,27
Polythene,Roll,7/21/2018,1400
"Dimond Disk 4""",Nos,7/21/2018,180
